genome_id,symbol
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,BRCA2 
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,A1BG
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,A2M
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,ABL1
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,ACTB
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,AKT1
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,APOE
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,APP
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,ATM
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,BRAF
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,BRCA1
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,BRCA2
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,CDK2
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,CDKN1A
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,CFTR
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,CLTC
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,CRP
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,CTNNB1
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,CYP1A1
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,EGFR
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,ESR1
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,F5
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,F8
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,FLI1
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,FOXP3
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,G6PD
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,GAPDH
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,GRB2
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,HBB
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,HLA-A
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,HLA-B
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,HLA-C
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,HRAS
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,HTT
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,IL6
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,JAK2
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,KRAS
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,LDLR
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,LMNA
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,MAPK1
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,MDM2
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,MTHFR
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,MYC
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,NFKB1
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,NOS3
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,NRAS
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,PCSK9
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,PDGFRA
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,PIK3CA
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,PML
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,PTEN
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,RB1
2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb,REL
