symbol	name	alternative_symbols	stable_id	version	unversioned_stable_id	type	so_term	genome_uuid	metadata_name_accession_id	metadata_name_value	metadata_name_url	metadata_name_source_id	metadata_name_source_name	metadata_name_source_description	metadata_name_source_url	metadata_name_source_release	slice_region_assembly_accession_id	slice_region_assembly_organism_scientific_name	slice_region_assembly_organism_species_taxon_id	slice_region_name	slice_region_topology	slice_region_sequence_checksum	slice_location_end	slice_location_length	slice_location_start	slice_strand_code	slice_strand_value
BRCA2	BRCA2 DNA repair associated	['BRCC2', 'FACD', 'FAD', 'FAD1', 'FANCD', 'FANCD1', 'XRCC11']	ENSG00000139618.19	19	ENSG00000139618	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:1101	BRCA2 DNA repair associated	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1101	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	13	linear	17dab79b963ccd8e7377cef59a54fe1c	32400268	85183	32315086	forward	1
A1BG	alpha-1-B glycoprotein	[]	ENSG00000121410.13	13	ENSG00000121410	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:5	alpha-1-B glycoprotein	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:5	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	19	linear	b0eba2c7bb5c953d1e06a508b5e487de	58353492	8315	58345178	reverse	-1
A2M	alpha-2-macroglobulin	['CPAMD5', 'FWP007', 'S863-7']	ENSG00000175899.15	15	ENSG00000175899	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:7	alpha-2-macroglobulin	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	12	linear	e81e16d3f44337034695a29b97708fce	9116229	48566	9067664	reverse	-1
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	['ABL', 'C-ABL', 'JTK7', 'P150']	ENSG00000097007.20	20	ENSG00000097007	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:76	ABL proto-oncogene 1, non-receptor tyrosine kinase	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:76	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	9	linear	addd2795560986b7491c40b1faa3978a	130887675	174633	130713043	forward	1
ACTB	actin beta	[]	ENSG00000075624.17	17	ENSG00000075624	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:132	actin beta	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:132	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	7	linear	94eef2b96fd5a7c8db162c8c74378039	5563902	37494	5526409	reverse	-1
AKT1	AKT serine/threonine kinase 1	['AKT', 'PKB', 'PRKBA', 'RAC', 'RAC-ALPHA']	ENSG00000142208.19	19	ENSG00000142208	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:391	AKT serine/threonine kinase 1	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:391	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	14	linear	acbd9552c059d9b403e75ed26c1ce5bc	104795759	26411	104769349	reverse	-1
APOE	apolipoprotein E	['AD2']	ENSG00000130203.10	10	ENSG00000130203	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:613	apolipoprotein E	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:613	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	19	linear	b0eba2c7bb5c953d1e06a508b5e487de	44909393	3603	44905791	forward	1
APP	amyloid beta precursor protein	['AD1', 'ALPHA-SAPP']	ENSG00000142192.22	22	ENSG00000142192	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:620	amyloid beta precursor protein	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:620	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	21	linear	2f45a3455007b7e271509161e52954a9	26171128	290594	25880535	reverse	-1
ATM	ATM serine/threonine kinase	['ATA', 'ATC', 'ATD', 'ATDC', 'TEL1', 'TELO1']	ENSG00000149311.22	22	ENSG00000149311	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:795	ATM serine/threonine kinase	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:795	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	11	linear	1511375dc2dd1b633af8cf439ae90cec	108369102	146299	108222804	forward	1
BRAF	B-Raf proto-oncogene, serine/threonine kinase	['BRAF-1', 'BRAF1']	ENSG00000157764.14	14	ENSG00000157764	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:1097	B-Raf proto-oncogene, serine/threonine kinase	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1097	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	7	linear	94eef2b96fd5a7c8db162c8c74378039	140924929	205603	140719327	reverse	-1
BRCA1	BRCA1 DNA repair associated	['BRCC1', 'FANCS', 'PPP1R53', 'RNF53']	ENSG00000012048.26	26	ENSG00000012048	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:1100	BRCA1 DNA repair associated	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1100	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	17	linear	a8499ca51d6fb77332c2d242923994eb	43170245	125951	43044295	reverse	-1
